3.39	4.09	dreams
4.91	5.09	can
5.09	5.29	be
5.77	6.64	particular
6.99	7.1	in
7.1	7.26	that
7.26	7.43	some
7.43	7.54	of
7.54	7.72	them
7.72	7.92	can
7.92	8.26	seem
8.26	9.05	perfectly
9.05	9.42	normal
9.42	9.55	we
9.55	9.86	fall
9.86	10.1	had
10.1	10.28	kind
10.28	10.35	of
10.35	10.62	dreams
10.62	10.71	where
10.71	10.87	you're
10.87	11.83	falling
12.15	12.36	or
12.36	12.54	when
12.54	12.64	you're
12.64	13.8	scared
14.1	14.17	we've
14.17	14.25	had
14.25	14.33	all
14.33	14.49	these
14.49	14.75	kinds
14.75	14.9	of
14.9	15.05	dreams
15.05	15.83	that
15.86	16.05	make
16.05	16.18	us
16.18	16.44	feel
16.44	16.62	all
16.8	17.15	sorts
17.15	17.32	of
17.62	17.9	great
17.9	18.39	things
18.67	18.82	but
18.82	19.02	some
19.02	19.34	we
19.34	19.65	dream
19.65	19.9	dreams
19.9	19.96	are
19.96	20.27	just
20.27	20.7	weird
20.87	20.99	they're
20.99	21.9	strange
22.3	22.39	and
22.39	22.52	you're
22.52	22.68	not
22.73	23.28	sure
23.28	23.53	what's
23.53	24.36	happening
24.62	24.72	you're
24.72	25.12	walking
25.12	25.44	in
25.44	25.7	you're
26.06	26.17	in
26.17	26.4	your
26.48	27.3	underwear
27.3	27.43	and
27.43	27.6	so
27.6	27.77	is
27.87	28.81	everybody
29.09	29.25	and
29.25	29.96	sometimes
30.23	30.49	there's
30.49	30.91	trees
30.91	31.25	that
31.25	32.08	talk
32.08	32.4	and
32.72	32.84	you
32.84	33.22	know
33.29	33.46	could
33.46	33.57	be
33.57	33.82	very
33.82	34.35	strange
34.35	34.67	so
34.67	34.82	i
34.82	35.07	don't
35.07	35.96	remember
36.03	36.23	all
36.23	36.33	of
36.33	36.5	my
36.5	37.24	dreams
37.24	37.56	but
37.56	37.66	i
37.66	37.84	would
37.84	38.08	say
38.08	38.27	that
38.27	38.39	i've
38.39	38.6	had
38.6	38.8	some
38.8	39.12	very
39.12	39.68	strange
39.68	40.07	dreams
40.29	40.65	not
40.65	40.76	the
40.76	41.04	one
41.04	41.16	where
41.16	41.29	my
41.29	41.59	friend
41.59	41.82	talked
41.82	41.9	to
41.9	42.03	me
42.03	42.26	those
42.26	42.35	are
42.35	42.93	normal
42.96	43.14	and
43.14	43.55	good
43.81	43.93	and
43.93	43.99	they
43.99	44.15	make
44.15	44.25	me
44.25	44.44	feel
44.44	45.38	happy
45.38	45.63	and
46.3	46.47	but
46.69	47.7	sometimes
47.7	47.83	they
47.83	47.99	can
47.99	48.12	be
48.12	48.39	really
48.39	48.85	strange
48.85	48.98	and
48.98	49.18	not
49.18	49.33	good
55.52	55.62	the
55.62	56.11	worst
56.11	56.73	nightmare
56.73	56.85	that
56.85	57.01	i've
57.01	57.23	ever
57.23	57.7	had
58.84	59.08	i'm
59.12	59.61	afraid
59.84	59.95	to
59.95	60.23	tell
60.23	60.36	you
60.36	60.64	because
60.64	60.78	it's
60.78	61.06	very
61.06	61.47	scary
61.47	61.6	and
61.6	61.88	i
61.88	62.17	don't
62.17	62.23	know
62.23	62.36	if
62.36	62.42	i
62.42	62.67	want
62.67	62.77	to
62.77	63.07	scare
63.07	63.31	you
63.31	63.39	are
63.39	63.52	you
63.52	63.94	okay
63.94	64.11	is
64.11	64.19	it
64.19	64.47	okay
64.47	64.61	if
64.61	64.68	i
64.68	64.98	scare
64.98	65.25	you
66.3	66.69	so
67.04	67.17	it's
67.17	67.97	very
67.97	68.45	dark
68.95	69.13	and
69.13	69.33	there's
69.33	69.66	nobody
69.66	69.78	and
69.78	69.81	a
69.81	70.29	light
70.89	71.22	turns
71.22	71.54	on
72.09	72.42	and
72.42	72.72	the
73.39	73.69	light
73.69	74.01	shows
74.01	74.09	me
74.09	74.19	and
74.19	74.22	i
74.22	74.6	try
74.6	74.79	to
74.79	75.27	hide
75.66	75.78	but
75.78	75.89	i'm
75.89	76.29	hiding
76.29	76.75	behind
76.75	76.81	a
76.81	77.05	piece
77.05	77.16	of
77.16	77.7	glass
78.09	78.25	and
78.41	78.99	everybody
78.99	79.19	can
79.19	79.47	see
79.47	79.77	it
80.2	80.32	and
80.32	80.36	i
80.36	80.65	can't
80.65	80.93	hide
80.93	81.06	and
81.06	81.2	i'm
81.2	81.76	running
82.09	82.23	and
82.23	82.38	i'm
82.38	82.66	running
82.66	82.75	and
82.75	82.91	i'm
82.91	83.27	very
83.27	83.91	scared
84.79	84.96	and
84.96	85.3	then
86.21	86.25	i
86.25	86.64	realize
86.64	86.76	that
86.76	86.88	i'm
86.88	87.35	alone
88.4	88.57	and
88.57	88.63	it
88.63	88.92	doesn't
88.92	89.17	matter
89.17	89.29	if
89.29	89.68	anybody
89.68	90.02	sees
90.02	90.14	me
90.14	90.82	because
92.34	92.55	there's
92.55	92.84	nothing
92.84	92.99	to
92.99	93.26	do
93.52	93.66	i'm
93.66	93.89	just
93.89	94.01	by
94.01	94.7	myself
95.67	95.81	and
95.81	95.92	then
95.92	96.0	i
96.0	96.26	wake
96.26	96.5	up
96.5	96.63	and
96.63	96.69	i
96.69	96.94	see
96.94	97.45	that
97.84	98.07	it's
98.07	98.47	just
98.47	98.85	true
98.93	99.01	i
99.01	99.38	wasn't
99.38	99.9	dreaming
99.94	99.99	it
99.99	100.17	was
100.17	100.41	just
100.41	100.54	what
100.54	100.69	was
100.69	101.23	happening
101.23	101.36	all
101.36	101.46	the
101.46	101.93	time
102.11	102.2	i
102.2	102.38	was
102.38	102.47	in
102.47	102.6	my
102.6	103.03	bed
103.53	104.13	alone
104.95	105.09	in
105.09	105.2	the
105.2	105.52	dark
105.52	105.68	but
105.68	105.76	you
105.76	106.02	know
107.29	107.49	that's
107.49	107.66	not
107.66	107.77	so
107.77	108.01	bad
108.01	108.07	you
108.07	108.24	could
108.24	108.33	be
108.33	108.52	with
108.52	108.78	someone
108.78	109.29	horrible
109.29	109.65	too
109.65	109.86	and
109.86	110.0	they
110.0	110.2	you
110.23	110.37	know
120.22	120.31	the
120.31	120.66	dream
120.66	120.78	that
120.78	120.84	i
120.84	121.32	had
121.36	121.47	i
121.47	121.72	wish
121.72	121.79	it
121.79	121.97	would
121.97	122.21	come
122.21	122.76	true
123.08	123.24	it's
123.24	123.31	a
123.31	123.83	dream
124.04	124.19	where
124.19	124.31	i'm
124.31	125.1	flying
125.54	125.84	and
125.84	126.22	you're
126.66	126.99	going
126.99	127.22	through
127.22	127.42	the
127.42	128.0	air
128.0	128.15	and
128.15	128.26	it
128.26	128.81	feels
128.81	129.31	so
129.31	129.96	good
129.96	130.15	and
130.54	130.76	you
130.76	131.19	just
131.19	131.48	feel
131.48	131.75	like
131.91	132.02	you
132.02	132.18	can
132.18	132.38	go
132.44	132.99	anywhere
132.99	133.17	and
